dataset,year,avg_fare,avg_dist
yellow,2012,10.90909969518665,2.892704976754637
yellow,2013,12.28887490942789,8.369715342693
yellow,2014,12.605172392120142,13.46418666283025
yellow,2015,12.883956016680212,12.479934181844385
yellow,2016,13.043329698667758,4.630196207162463
yellow,2017,12.978407937723784,2.948239919252895
yellow,2018,13.006066555258819,2.960348974530105
yellow,2019,13.307382224146645,3.0484157049878604
yellow,2020,12.575702943274457,3.5801290010612443
yellow,2021,13.51839167928091,7.012655746182229
yellow,2022,14.850224632186174,6.044577632048433
yellow,2023,19.804448013664363,4.164712751471899
yellow,2024,19.819950696889336,5.017492831359643
yellow,2025,20.029144992580424,6.544408740799534
yellow,2026,21.374777216830964,6.605125151503361
green,2014,12.505016480519759,3.0223641071370198
green,2015,12.342184141331538,2.922708712950635
green,2016,12.15909067958684,2.842123771736946
green,2017,11.836628175020106,2.718627402072545
green,2018,13.836786190810797,3.2961672582748998
green,2019,15.41484562038577,3.6605823671448245
green,2020,17.014570814663227,18.028482655073905
green,2021,20.24444997927284,153.81720056572945
green,2022,14.917476201641271,89.76664537879029
green,2023,18.13499143199635,20.047149697371136
green,2024,18.176550926779097,18.00491131220124
green,2025,17.993611987885725,19.926873506573738
green,2026,16.33345391973552,17.634790260954397
fhvhv,2019,17.437840542065445,4.746339490761102
fhvhv,2020,17.67254936642945,4.613364657637784
fhvhv,2021,22.044006638017137,4.839329348454217
fhvhv,2022,23.71727523059732,5.03080248240083
fhvhv,2023,24.60817649075296,5.062676991110761
fhvhv,2024,26.22847213349199,5.082195753870527
fhvhv,2025,26.99223745144911,5.0331772732267765
fhvhv,2026,26.19881764945896,4.645287273244416
