group_value,total_events,trip_distance_mean,fare_amount_mean,tip_amount_mean,trip_distance_std,fare_amount_std,tip_amount_std
Manhattan,4680627.0,4.048,20.105,1.424,2.739,9.755,1.519
Brooklyn,2439910.0,4.322,20.738,0.703,1.922,6.517,0.66
Queens,1770166.0,6.43,23.844,1.143,2.374,6.873,0.828
Bronx,1197859.0,4.498,18.686,0.288,1.168,3.318,0.163
Staten Island,122804.0,5.588,19.897,0.757,0.19,0.519,0.048
Unknown,10547.0,4.899,18.036,3.106,0.017,0.046,0.013
N/A,5168.0,9.123,43.541,0.454,0.505,1.698,0.002
EWR,141.0,16.175,62.159,4.309,0.0,0.0,0.0
