feature,importance
f18,73042.0078125
f17,12544.76171875
f15,12417.2685546875
f16,12213.2685546875
f10,6976.724609375
f0,5386.87744140625
f1,4528.99267578125
f8,3110.25341796875
f7,2637.648681640625
f2,1759.679931640625
f3,1210.136962890625
f9,1198.220458984375
f6,1096.9158935546875
f5,601.1426391601562
f4,564.253173828125
f14,227.4834442138672
f13,220.14764404296875
f11,205.4312744140625
f12,90.42096710205078
