feature,importance
f17,14103.189453125
f18,6775.76171875
f16,6100.81982421875
f0,4143.4423828125
f1,4081.66064453125
f10,3769.838134765625
f7,1781.4051513671875
f6,1640.62158203125
f2,1460.84912109375
f8,951.8660278320312
f3,662.17138671875
f9,528.43359375
f5,356.6126708984375
f4,354.77655029296875
f12,184.5293731689453
f15,179.4043731689453
f14,166.09725952148438
f13,58.834415435791016
