feature,importance
f11,115459.390625
f10,13366.2138671875
f0,4725.0390625
f1,4588.26953125
f8,2782.55615234375
f2,1631.9122314453125
f7,1466.60400390625
f6,1184.6258544921875
f9,1001.2620849609375
f3,710.2779541015625
f4,415.0122985839844
f5,319.7219543457031
